id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
5181972,2015/07/25 8:12 AM IST,2015-07-25,2015-07-25 05:12:00 UTC,Jerusalem,401819,mohitpatel845,Mohit Patel,2017-02-26 09:07:20 UTC,2020-02-04 15:25:00 UTC,research,,https://www.inaturalist.org/observations/5181972,https://static.inaturalist.org/photos/6392210/medium.jpeg,,"Insecta, Lepidoptera, Hesperiidae, Hasora, Hasora chromus, Skippers, Awls, Pongamia pinnata, Fabaceae, ButterflyIndia, ButterflyGujarat","Life Stage : Caterpillar
Larval Host Plant : Pongamia pinnata
(Fabaceae)",1,0,false,,"Surat, Gujarat, India",21.1702401,72.8310607,13404,,,,13404,,,false,,,Common Banded Awl,Hasora chromus,Common Banded Awl,Insecta,306860
6166681,2017/05/10 3:44 PM CDT,2017-05-10,2017-05-10 20:44:00 UTC,Central Time (US & Canada),68260,ecarpe,Eric Carpenter,2017-05-11 02:08:53 UTC,2017-07-22 06:24:14 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6166681,https://inaturalist-open-data.s3.amazonaws.com/photos/7733881/medium.jpg,,caterpillar,host plant - canna.,1,0,false,,"Blue Valley Pond, Austin, TX, USA",30.2451227367,-97.827534824,7,,,,7,,,false,,,Brazilian Skipper,Calpodes ethlius,Brazilian Skipper,Insecta,53866
6745513,2017-06-21 11:21:49 AM EDT,2017-06-21,2017-06-21 15:21:49 UTC,Eastern Time (US & Canada),178428,lynnparsons,"",2017-06-21 19:08:13 UTC,2021-06-28 02:46:11 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6745513,https://inaturalist-open-data.s3.amazonaws.com/photos/8567352/medium.jpeg,,"",Caterpillar feeding on black locost.  Typical,1,0,false,2,"Loudoun County, US-VA, US",39.0513474,-77.3809294,1745,,,,1745,,,false,,,Silver-spotted Skipper,Epargyreus clarus,Silver-spotted Skipper,Insecta,81559
6849151,2017/06/29 5:01 PM UTC,2017-06-29,,UTC,292007,ryan84,Ryan Watson,2017-06-29 17:17:54 UTC,2017-11-10 09:37:24 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/6849151,https://inaturalist-open-data.s3.amazonaws.com/photos/8725601/medium.jpg,,"",I'm not sure if this is a caterpillar or a sawfly larva.,1,0,false,,"Fairview Heights, Lynchburg, VA, USA",37.3804285422,-79.1394889355,15,,,,15,,,false,,,Silver-spotted Skipper,Epargyreus clarus,Silver-spotted Skipper,Insecta,81559
6881951,2017-07-01,2017-07-01,,Eastern Time (US & Canada),494532,ansel_oommen,Ansel Oommen,2017-07-02 02:07:33 UTC,2017-07-10 02:38:54 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6881951,https://inaturalist-open-data.s3.amazonaws.com/photos/8777158/medium.jpeg,,"","Larva and leaf shelter spotted on white false indigo in Native garden. Interestingly, by the stone wall by an outdoor charger, a wasp was seen carrying caterpillar grub into crevices, presumably for wasp larvae. Wasp may have been targeting this species given proximity. Specimen regurgitated stomach contents when leaf shelter was exposed- probably a defense mechanism against predation- in this case, wasps. ",1,0,false,,new york botanical garden,40.862714,-73.878556,25,,,,25,,,false,,,Wild Indigo Duskywing,Erynnis baptisiae,Wild Indigo Duskywing,Insecta,58478
7049375,2015/09/05 12:39 AM CDT,2015-09-05,2015-09-05 05:39:00 UTC,Central Time (US & Canada),527980,dallaslevey,Dallas Levey,2017-07-14 17:14:53 UTC,2017-07-15 00:15:24 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7049375,https://inaturalist-open-data.s3.amazonaws.com/photos/9047575/medium.jpg,,"",caterpillar,2,0,false,,"Champaign, IL, USA",40.0969868167,-88.2694748918,1206,,,,1206,,,false,,,Silver-spotted Skipper,Epargyreus clarus,Silver-spotted Skipper,Insecta,81559
7060324,Sat Jul 15 2017 08:55:50 GMT-0500 (CDT),2017-07-15,2017-07-15 13:55:50 UTC,Central Time (US & Canada),512981,pvichm,,2017-07-15 14:17:25 UTC,2017-07-17 19:16:14 UTC,research,,https://www.inaturalist.org/observations/7060324,https://static.inaturalist.org/photos/9064220/medium.jpg,,"","Caterpillar. Identifying factors are red head, orange mark at posterior, and yellow longitudinal lines along body's length.",1,0,false,3,"1001 Harrison Ave, New Orleans, LA, US",30.0035770331,-90.0950923563,5,,,,5,,,false,,,Long-tailed Skipper,Urbanus proteus,Long-tailed Skipper,Insecta,67435
7086686,2017/07/05 3:02 PM EDT,2017-07-05,2017-07-05 19:02:00 UTC,Eastern Time (US & Canada),143171,wanderingmogwai,"",2017-07-17 09:23:51 UTC,2017-12-07 15:41:49 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7086686,https://inaturalist-open-data.s3.amazonaws.com/photos/9104774/medium.jpg,,"Epargyreus clarus, Silver-spotted Skipper, caterpillar",Found in a loosely stitched roll of leaves on my Wisteria about 2 feet off the ground.,3,0,false,,"Montgomery County, PA, USA",40.2534074147,-75.476453751,2,,,,2,,,false,,,Silver-spotted Skipper,Epargyreus clarus,Silver-spotted Skipper,Insecta,81559
7152845,2017-06-30 4:54:58 PM CDT,2017-06-30,2017-06-30 21:54:58 UTC,Central Time (US & Canada),127188,kimberlietx,Kimberlie Sasan,2017-07-22 03:24:18 UTC,2021-06-20 00:07:51 UTC,research,CC-BY-ND,https://www.inaturalist.org/observations/7152845,https://static.inaturalist.org/photos/9211795/medium.jpeg,,"","13 days after discovering these fellows (http://www.inaturalist.org/observations/7097636) they are huge and now eating massive chunks out of my Canna leaves. The arrow in the photo indicates one of the undeveloped testes, visible through the translucent body. (http://sciencing.com/determine-caterpillar-male-female-5911369.html)  **Correction:  I don't believe this is actually the testes, which would have been yellow and more rounded.  This is probably part of the excretory system.**

Video of this larva laying down new silk to close the leaf back over himself.  (When the silk dries it tightens and pulls the leaf closed. Time to dry depends on weather conditions.) https://youtu.be/i9tVk2oT8cg",2,0,false,2,"Texas, US",32.9319122341,-97.1124118978,,,,,29039,obscured,,true,gps,gps,Brazilian Skipper,Calpodes ethlius,Brazilian Skipper,Insecta,53866
7276139,2017-07-30 9:34:11 AM EDT,2017-07-30,2017-07-30 13:34:11 UTC,Eastern Time (US & Canada),267575,shinnickj,"",2017-07-30 13:34:25 UTC,2017-11-10 18:21:23 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7276139,https://inaturalist-open-data.s3.amazonaws.com/photos/9417707/medium.jpeg,,"",Caterpillar on Hogpeanut,2,0,false,2,"Hunting Quarter Rd, Poolesville, MD 20837, USA",39.08219698,-77.40442542,7,,,,7,,,false,,,Silver-spotted Skipper,Epargyreus clarus,Silver-spotted Skipper,Insecta,81559
7528315,2017/08/16 7:48 PM CDT,2017-08-16,2017-08-17 00:48:00 UTC,Central Time (US & Canada),127188,kimberlietx,Kimberlie Sasan,2017-08-17 05:00:25 UTC,2020-07-05 12:09:28 UTC,research,CC-BY-ND,https://www.inaturalist.org/observations/7528315,https://static.inaturalist.org/photos/9817978/medium.jpeg,,"","Tonight I happened upon emerging Brazilian Skipper caterpillars.  My Cannas have been host to them before, so I was hoping to have more to be able to document their life cycle.  I counted 17 eggs, but undoubtedly there are more since they are easy to overlook.  Eggs are laid singly, usually 2 per leaf surface, top and bottom.  I expect 2-3 will survive long enough to pupate.  2 mm in length.

http://bugguide.net/node/view/1316796/bgimage",1,0,false,,"Texas, US",32.8591506369,-97.1652619725,206,,,,29039,obscured,,true,,"",Brazilian Skipper,Calpodes ethlius,Brazilian Skipper,Insecta,53866
7898405,2017-09-11 11:40:14 AM EDT,2017-09-11,2017-09-11 15:40:14 UTC,Eastern Time (US & Canada),406271,jkester,Jessica Kester,2017-09-13 01:57:35 UTC,2020-01-28 14:57:46 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7898405,https://inaturalist-open-data.s3.amazonaws.com/photos/10418022/medium.jpeg,,"",Caterpillar found in the tomato patch,1,0,false,2,"3359 Johnstown Rd, Duncansville, PA 16635, USA",40.3559608459,-78.550239563,,,,,,,,false,gps,gps,Silver-spotted Skipper,Epargyreus clarus,Silver-spotted Skipper,Insecta,81559
7919094,2017-09-14 12:44:30 PM EDT,2017-09-14,2017-09-14 16:44:30 UTC,Eastern Time (US & Canada),438520,tessthenaturalist,Tess (Teresa),2017-09-14 19:04:06 UTC,2017-12-05 23:41:23 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7919094,https://inaturalist-open-data.s3.amazonaws.com/photos/10451343/medium.jpeg,,"",Feeding on a wild bean plant. The yellow spots on the back of the caterpillar are the testes indicating this is a male (http://www.butterflyfunfacts.com/long-tailed-skipper-butterfly.php),1,0,false,2,"5540 Old Jacksonboro Rd, Ravenel, SC 29470, USA",32.795933,-80.199498,,,,,,,,false,gps,gps,Long-tailed Skipper,Urbanus proteus,Long-tailed Skipper,Insecta,67435
8033131,2017/09/21 1:35 PM EDT,2017-09-21,2017-09-21 17:35:00 UTC,Eastern Time (US & Canada),32654,eraskin,Evan M. Raskin,2017-09-22 02:39:21 UTC,2017-09-22 03:26:12 UTC,research,CC-BY,https://www.inaturalist.org/observations/8033131,https://inaturalist-open-data.s3.amazonaws.com/photos/10637101/medium.jpg,,"caterpillar, butterfly",,1,0,false,,"The Point, Obed WSR",36.0905467727,-84.7008132935,148,,,,148,,,false,,,Silver-spotted Skipper,Epargyreus clarus,Silver-spotted Skipper,Insecta,81559
8297089,2017/10/02 4:01 PM CDT,2017-10-02,2017-10-02 21:01:00 UTC,Central Time (US & Canada),78791,itmndeborah,Deborah Rayfield,2017-10-07 16:50:33 UTC,2017-10-07 21:27:45 UTC,research,,https://www.inaturalist.org/observations/8297089,https://static.inaturalist.org/photos/11010576/medium.jpeg,,"",possibly the same one as the previous but I got distracted by the caterpillar,2,0,false,,"Briscoe County, TX, USA",34.4195641724,-101.0543596745,15,,,,15,,,false,,,Sachem,Atalopedes campestris,Sachem,Insecta,52075
8380863,2017/09/05 11:37 AM CDT,2017-09-05,2017-09-05 16:37:00 UTC,Central Time (US & Canada),127188,kimberlietx,Kimberlie Sasan,2017-10-13 03:42:22 UTC,2020-05-11 03:49:54 UTC,research,CC-BY-ND,https://www.inaturalist.org/observations/8380863,https://static.inaturalist.org/photos/11145587/medium.jpeg,,"","Found caterpillar on a grass seed stalk (Sorghum halepense).  One of the leaves has silk on it, like a leaf roller/folder.",1,0,false,,"Tarrant, Texas, United States",32.6904583333,-97.1917433333,,,,,,,,false,,,Clouded Skipper,Lerema accius,Clouded Skipper,Insecta,142988
8431256,2017/10/16 1:50 PM EDT,2017-10-16,2017-10-16 17:50:00 UTC,Eastern Time (US & Canada),341557,toxmace,Tom Austin,2017-10-16 20:29:15 UTC,2020-04-20 15:40:12 UTC,research,CC-BY,https://www.inaturalist.org/observations/8431256,https://inaturalist-open-data.s3.amazonaws.com/photos/11228142/medium.jpg,,"","First (maybe second) instar caterpillar on a Powdery Alligator Flag, Thalia dealbata. Multiple caterpillars have hosted so far this year based on the damage to my plant.

This is not Gesha cannalis.",1,0,false,,"Charleston County, SC, USA",32.6822110068,-80.34770742,3,,,,3,,,false,,,Brazilian Skipper,Calpodes ethlius,Brazilian Skipper,Insecta,53866
8483115,2017/10/20 4:15 PM EDT,2017-10-20,2017-10-20 20:15:00 UTC,Eastern Time (US & Canada),341557,toxmace,Tom Austin,2017-10-20 23:21:59 UTC,2017-10-21 01:55:07 UTC,research,CC-BY,https://www.inaturalist.org/observations/8483115,https://inaturalist-open-data.s3.amazonaws.com/photos/11312935/medium.jpg,,"",38 caterpillars and 9 spent pupal cases across 5 clumps of Thalia dealbata in a 50ft strip.,1,0,false,,"Edisto Island, SC 29438, USA",32.52495594,-80.2979242802,15,,,,15,,,false,,,Brazilian Skipper,Calpodes ethlius,Brazilian Skipper,Insecta,53866
8624931,Mon Oct 30 2017 17:22:21 GMT-0500 (CDT),2017-10-30,2017-10-30 22:22:21 UTC,Central Time (US & Canada),407471,cwd912nb,Bill Schur,2017-10-31 01:54:37 UTC,2022-03-16 20:14:38 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8624931,https://inaturalist-open-data.s3.amazonaws.com/photos/11541294/medium.jpg,,"",Brazilian skipper caterpillars were eating some canna lilies in our yard and rolling themselves in the leaves to make cocoons.  I left them alone and spotted this today. I did not observe the cocoon being made or anything emerging from it.  ,1,0,false,3,"912 N Bailey Ave, Fort Worth, TX, US",32.7745966667,-97.374725,5,,,,5,,,false,,,Brazilian Skipper,Calpodes ethlius,Brazilian Skipper,Insecta,53866
8639579,2017/10/23 6:46 PM CDT,2017-10-23,2017-10-23 23:46:00 UTC,Central Time (US & Canada),32480,aenglandbiol,Angela England,2017-11-01 03:14:47 UTC,2022-02-17 21:42:49 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/8639579,https://inaturalist-open-data.s3.amazonaws.com/photos/11564786/medium.jpg,,"","Caterpillar with distinct constriction behind head, dark brown head, orange pseudofeet, found on garden green beans (Phaseolus vulgaris) rolled inside several leaves. Many leaves on the plants have small sections cut (eaten) out from the edges.",2,0,false,,"Texas, US",30.3983327629,-97.9946963608,,,,,29382,obscured,,true,,,Long-tailed Skipper,Urbanus proteus,Long-tailed Skipper,Insecta,67435
9438039,2016/04/14 1:39 PM EDT,2016-04-14,2016-04-14 17:39:00 UTC,Eastern Time (US & Canada),584526,joebartok,Joe Bartok,2018-01-11 11:16:04 UTC,2022-11-09 20:10:34 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9438039,https://inaturalist-open-data.s3.amazonaws.com/photos/12831500/medium.jpg,,"","Prepupal larva, about 30 mm long, active among dead leaf litter along the side of a trail.

In support of this ID, the caterpillar's appearance, habitat and season are consistent with the photograph and species account on Page 71, Caterpillars of Eastern North America (2005), by David L. Wagner.

Other Poanes sp larvae are similar but this is the only species that flies in this area, adult Poanes hobomok have been recorded at this habitat on numerous occasions.",1,0,false,,"Tweed, ON, Canada",44.4852852386,-77.2929167747,31,,,,31,,,false,,,Hobomok Skipper,Lon hobomok,Hobomok Skipper,Insecta,1081323
9534179,2016/08/07 10:48 AM EDT,2016-08-07,2016-08-07 14:48:00 UTC,Eastern Time (US & Canada),696318,roamingthewoods,"",2018-01-20 02:11:14 UTC,2021-02-07 19:09:32 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9534179,https://inaturalist-open-data.s3.amazonaws.com/photos/13002979/medium.jpg,,? Caterpillar,,1,0,false,,"Ashtabula County, OH, USA",41.8841941562,-80.587912004,4414,,,,4414,,,false,,,Silver-spotted Skipper,Epargyreus clarus,Silver-spotted Skipper,Insecta,81559
10857893,2018/04/13 4:33 PM HKT,2018-04-13,2018-04-13 08:33:00 UTC,Hong Kong,737306,lenisutcliffe,,2018-04-13 15:40:58 UTC,2020-05-18 17:49:22 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10857893,https://inaturalist-open-data.s3.amazonaws.com/photos/15233259/medium.jpg,,"",Reared from caterpillar feeding on Schefflera arboricola.,1,0,false,,"Ayala Westgrove Heights, Silang, Cavite",14.2363325,121.032972,208,,,,208,,,false,,,Pale Awlet,Bibasis gomata,Pale Green Awlet,Insecta,334905
10869444,2013-02-23,2013-02-23,,Africa/Johannesburg,660508,magrietb,magriet b,2013-03-14 14:45:37 UTC,2019-09-18 14:21:34 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10869444,https://inaturalist-open-data.s3.amazonaws.com/photos/15256826/medium.jpg,,"urban, Juveniles & Larvae","<h3>Kleinmond grass pillar</h3><br><p>Small caterpillar found on grass in my garden, it eventually pupated and this morning the pupa was empty... but no moth anywhere to be seen! Not sure if it could have crawled through one of the tiny breathing holes of its sealed container or what. Must try again.</p>",4,1,false,,Kleinmond,-34.33702,19.035448,1,,,,1,,open,false,,,Western Goldspotted Sylph,Metisella metis metis,Western Goldspotted Sylph,Insecta,675455
10964619,2014-07-03,2014-07-03,,Africa/Johannesburg,669488,qgrobler,"",2014-07-03 13:15:16 UTC,2021-02-12 02:58:22 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10964619,https://inaturalist-open-data.s3.amazonaws.com/photos/15431719/medium.jpg,,urban,<h3>Caterpillar</h3><br>,1,0,false,,"5, Edge View Rd",-32.965249,27.92616,1,,,,1,,open,false,,,Moltena fiara,Moltena fiara,Banana-tree Nightfighter,Insecta,676195
12975055,Wed May 30 2018 20:26:49 GMT-0500 (CDT),2018-05-30,2018-05-31 01:26:49 UTC,Central Time (US & Canada),469823,smitchell463,Sara Mitchell,2018-05-31 04:28:13 UTC,2022-05-03 16:28:38 UTC,research,,https://www.inaturalist.org/observations/12975055,https://static.inaturalist.org/photos/18866618/medium.jpg,,"",Caterpillars all over cannas. Folding leaf over to make cocoons. ,1,0,false,3,"Texas, US",32.3101326013,-96.9039002867,65,,,,29120,obscured,,true,,,Brazilian Skipper,Calpodes ethlius,Brazilian Skipper,Insecta,53866
12995749,Fri Jun 01 2018 09:23:51 GMT+1000 (GMT+10),2018-06-01,2018-05-31 23:23:51 UTC,Brisbane,584047,jakemanuel,Jake Manuel,2018-05-31 23:26:15 UTC,2020-12-11 18:10:28 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/12995749,https://inaturalist-open-data.s3.amazonaws.com/photos/18902991/medium.jpg,,"",Found thus caterpillar feeding on papaya tips at house 2 nursery.,2,1,false,3,"University of Guam, Mangilao, GU, US",13.4303017007,144.7999337689,22,,,,22,,,false,,,Brown Awl,Badamia exclamationis,Brown Awl,Insecta,196806
13079171,2018/06/01 12:17 PM CDT,2018-06-01,2018-06-01 17:17:00 UTC,Central Time (US & Canada),399516,arbutterflynut,C. A. Ivy,2018-06-03 16:00:13 UTC,2019-08-02 14:45:19 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/13079171,https://inaturalist-open-data.s3.amazonaws.com/photos/19050893/medium.jpg,,"",caterpillar enclosed in Black Locust leaves,1,0,false,,"Barling, AR, USA",35.3256469,-94.3016006,6669,,,,6669,,,false,,,Zarucco Duskywing,Erynnis zarucco,Zarucco Duskywing,Insecta,219499
13084647,Sun Jun 03 2018 10:38:34 GMT-0500 (CDT),2018-06-03,2018-06-03 15:38:34 UTC,Central Time (US & Canada),745129,parahuaco,Eric Duran,2018-06-03 18:33:57 UTC,2021-10-27 15:59:09 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/13084647,https://static.inaturalist.org/photos/19060676/medium.jpg,,"insect, lepidoptera, Skipper, Hesperiidae, Butterfly",Caterpillar found feeding on the leaves of bean plants in the herb garden,1,0,false,3,russ pitman park,29.700193,-95.452088,,,,,,,,false,,,Long-tailed Skipper,Urbanus proteus,Long-tailed Skipper,Insecta,67435
